k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02857142857142857,0.05555555555555556,1
2,2.0,1.0,0.05714285714285714,0.1081081081081081,1
3,3.0,1.0,0.08571428571428572,0.15789473684210528,1
4,4.0,1.0,0.11428571428571428,0.20512820512820512,1
5,5.0,1.0,0.14285714285714285,0.25,1
6,6.0,1.0,0.17142857142857143,0.2926829268292683,1
7,7.0,1.0,0.2,0.33333333333333337,1
8,8.0,1.0,0.22857142857142856,0.3720930232558139,1
9,9.0,1.0,0.2571428571428571,0.40909090909090906,1
10,10.0,1.0,0.2857142857142857,0.4444444444444445,1
11,10.0,0.9090909090909091,0.2857142857142857,0.43478260869565216,0
12,10.0,0.8333333333333334,0.2857142857142857,0.42553191489361697,0
13,11.0,0.8461538461538461,0.3142857142857143,0.45833333333333337,1
14,12.0,0.8571428571428571,0.34285714285714286,0.4897959183673469,1
15,13.0,0.8666666666666667,0.37142857142857144,0.52,1
16,14.0,0.875,0.4,0.5490196078431373,1
17,15.0,0.8823529411764706,0.42857142857142855,0.5769230769230769,1
18,15.0,0.8333333333333334,0.42857142857142855,0.5660377358490566,0
19,16.0,0.8421052631578947,0.45714285714285713,0.5925925925925926,1
20,17.0,0.85,0.4857142857142857,0.6181818181818183,1
