k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.02127659574468085,0.04081632653061224,1
3,2.0,0.6666666666666666,0.0425531914893617,0.08,1
4,3.0,0.75,0.06382978723404255,0.11764705882352941,1
5,4.0,0.8,0.0851063829787234,0.15384615384615383,1
6,4.0,0.6666666666666666,0.0851063829787234,0.1509433962264151,0
7,5.0,0.7142857142857143,0.10638297872340426,0.18518518518518517,1
8,6.0,0.75,0.1276595744680851,0.2181818181818182,1
9,6.0,0.6666666666666666,0.1276595744680851,0.21428571428571427,0
10,7.0,0.7,0.14893617021276595,0.24561403508771928,1
11,8.0,0.7272727272727273,0.1702127659574468,0.27586206896551724,1
12,9.0,0.75,0.19148936170212766,0.3050847457627119,1
13,10.0,0.7692307692307693,0.2127659574468085,0.33333333333333337,1
14,11.0,0.7857142857142857,0.23404255319148937,0.36065573770491804,1
15,12.0,0.8,0.2553191489361702,0.3870967741935484,1
16,13.0,0.8125,0.2765957446808511,0.4126984126984127,1
17,14.0,0.8235294117647058,0.2978723404255319,0.4375,1
18,15.0,0.8333333333333334,0.3191489361702128,0.4615384615384616,1
19,16.0,0.8421052631578947,0.3404255319148936,0.48484848484848486,1
20,17.0,0.85,0.3617021276595745,0.5074626865671642,1
