k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.1,0.16666666666666669,1
3,2.0,0.6666666666666666,0.2,0.30769230769230765,1
4,3.0,0.75,0.3,0.4285714285714285,1
5,3.0,0.6,0.3,0.4,0
6,4.0,0.6666666666666666,0.4,0.5,1
7,4.0,0.5714285714285714,0.4,0.47058823529411764,0
8,5.0,0.625,0.5,0.5555555555555556,1
9,5.0,0.5555555555555556,0.5,0.5263157894736842,0
10,5.0,0.5,0.5,0.5,0
11,6.0,0.5454545454545454,0.6,0.5714285714285713,1
12,7.0,0.5833333333333334,0.7,0.6363636363636365,1
13,7.0,0.5384615384615384,0.7,0.608695652173913,0
14,7.0,0.5,0.7,0.5833333333333334,0
15,7.0,0.4666666666666667,0.7,0.56,0
16,7.0,0.4375,0.7,0.5384615384615384,0
17,7.0,0.4117647058823529,0.7,0.5185185185185185,0
18,7.0,0.3888888888888889,0.7,0.5,0
19,7.0,0.3684210526315789,0.7,0.48275862068965514,0
20,7.0,0.35,0.7,0.4666666666666667,0
